tension,latitud_y_longitud,poder de voltaje
13.2,"-65.2536640918496,-24.260209659779",MEDIO
13.2,"-65.2525350390951,-24.2601477990576",MEDIO
13.2,"-65.253528855081,-24.2590182786357",MEDIO
13.2,"-65.2466543712572,-24.2606488181907",MEDIO
13.2,"-65.2469668660397,-24.2605892510146",MEDIO
13.2,"-65.256095607223,-24.2587803486279",MEDIO
13.2,"-65.2536068812172,-24.2590136828645",MEDIO
13.2,"-65.6397339091003,-22.4196429476161",MEDIO
13.2,"-65.7009296475773,-22.4181159895864",MEDIO
13.2,"-65.700917060011,-22.4180906028796",MEDIO
13.2,"-65.3538785146387,-23.2108528498333",MEDIO
13.2,"-65.354014609153,-23.2090892542719",MEDIO
13.2,"-65.354680788104,-23.2047105368303",MEDIO
13.2,"-65.3541887263227,-23.2066687959628",MEDIO
13.2,"-65.3541887697106,-23.2066597669416",MEDIO
13.2,"-65.3541888130985,-23.2066507379204",MEDIO
13.2,"-65.5116960921515,-23.7357779040682",MEDIO
13.2,"-65.5126106671906,-23.7351054814403",MEDIO
13.2,"-65.5111332651309,-23.7351896247562",MEDIO
13.2,"-65.5126124589443,-23.7351284490395",MEDIO
13.2,"-64.414089221637,-23.6703225660437",MEDIO
13.2,"-64.4175422375122,-23.664876082501",MEDIO
13.2,"-64.4140991709983,-23.6702962227926",MEDIO
13.2,"-64.4164093193856,-23.6667694620293",MEDIO
13.2,"-65.5829020900364,-22.119017686266",MEDIO
13.2,"-65.582902116603,-22.1190086556837",MEDIO
13.2,"-65.237286405641,-24.2319291815615",MEDIO
13.2,"-65.7027885193349,-22.4229393662744",MEDIO
13.2,"-65.7027885385538,-22.4229303359115",MEDIO
13.2,"-65.2666626414,-24.2697494817588",MEDIO
13.2,"-65.2666626932103,-24.2697404541453",MEDIO
13.2,"-65.2667119533244,-24.2703887688396",MEDIO
13.2,"-65.2667120051326,-24.2703797412267",MEDIO
13.2,"-65.3141894798616,-24.1691335960916",MEDIO
13.2,"-65.2623749841994,-24.2128138585372",MEDIO
13.2,"-65.2623750361745,-24.2128048308648",MEDIO
13.2,"-65.2623750881495,-24.2127958031925",MEDIO
13.2,"-64.9793988196391,-24.5019697758712",MEDIO
13.2,"-64.992709826447,-24.5145104497061",MEDIO
13.2,"-65.3729492160633,-23.1500158855455",MEDIO
7.6,"-65.372949258076,-23.1500068564264",MEDIO
13.2,"-65.3729493000887,-23.1499978273072",MEDIO
13.2,"-65.3741856251982,-23.1494614414014",MEDIO
13.2,"-65.3733788505365,-23.1463152236428",MEDIO
13.2,"-65.3742209114312,-23.1494463892759",MEDIO
13.2,"-65.3737872619547,-23.1478672029269",MEDIO
13.2,"-65.3737873039069,-23.1478581738039",MEDIO
13.2,"-65.3737873458591,-23.1478491446809",MEDIO
13.2,"-65.3737883468607,-23.1478379353133",MEDIO
13.2,"-64.7877868632186,-23.9862186366435",MEDIO
13.2,"-64.787630973806,-23.986907820016",MEDIO
13.2,"-64.7876617338928,-23.9867726875371",MEDIO
13.2,"-64.7876669026501,-23.9867456536292",MEDIO
13.2,"-64.7877871412552,-23.9862412017478",MEDIO
13.2,"-64.7869436933383,-23.9899573598598",MEDIO
13.2,"-64.7923712343616,-23.9837804311113",MEDIO
13.2,"-64.7829951724204,-23.9871868492128",MEDIO
13.2,"-64.842689642487,-24.2288389853146",MEDIO
13.2,"-64.842689724092,-24.2288299587599",MEDIO
13.2,"-64.3653581283371,-23.5628490041265",MEDIO
13.2,"-64.3653309663374,-23.5628892003557",MEDIO
13.2,"-64.36534178964,-23.5628607738606",MEDIO
13.2,"-65.0416094873294,-24.4730934098845",MEDIO
13.2,"-65.0416225149175,-24.4730894159227",MEDIO
13.2,"-65.0416517824965,-24.4730806370848",MEDIO
