tension,geojson
13.2,"-64.7902583265014,-23.8026355871549"
13.2,"-65.3501454086725,-24.2376381693899"
13.2,"-64.7976742636702,-23.811257160042"
13.2,"-65.3500539037422,-24.237660502291"
13.2,"-65.348090835443,-24.2381284735519"
13.2,"-64.7975085796718,-23.8109769505089"
13.2,"-65.3500503425113,-24.2376290738022"
33,"-64.7963801363987,-23.8225560340116"
13.2,"-65.3480649416289,-24.2381445549659"
13.2,"-64.7949139926468,-23.9714947548128"
13.2,"-64.7955859655927,-23.8016378376562"
13.2,"-65.3516815036574,-24.2371575362386"
13.2,"-64.7956944042789,-23.8065888651757"
13.2,"-65.3516791408492,-24.2371320657422"
13.2,"-64.7932256078631,-23.7957901001675"
33,"-65.3501742781835,-24.2376308805789"
13.2,"-64.7913914154932,-23.8178275918662"
13.2,"-65.3525823212746,-24.2355175955086"
13.2,"-65.351780246133,-24.2370634343781"
13.2,"-64.7900406977565,-23.8027130131333"
13.2,"-65.3517651632995,-24.237087562883"
13.2,"-64.7892801388695,-23.8029445633449"
13.2,"-64.7896470019282,-23.8140227081153"
33,"-65.3480434530184,-24.2381459015109"
13.2,"-64.7892547710807,-23.8142282381597"
13.2,"-65.2303410312396,-24.2331366470627"
13.2,"-64.7889979114304,-23.7999524858577"
13.2,"-65.0409545821345,-24.4726661256263"
13.2,"-64.7983783874832,-23.8164856952302"
13.2,"-65.0409379531197,-24.4726479673307"
13.2,"-64.7955530185049,-23.9424159010205"
13.2,"-64.8688665417474,-24.2333268956202"
13.2,"-64.8689006608679,-24.2332737125146"
13.2,"-64.795555655624,-23.8205982102749"
13.2,"-64.8689334285322,-24.2332652871726"
13.2,"-64.7925090325543,-23.9837544402112"
13.2,"-65.295882213212,-24.2093829302346"
13.2,"-64.7888036405,-23.8144878064409"
13.2,"-65.3936692890506,-24.1418890942765"
13.2,"-64.7884040954285,-23.8047022743952"
13.2,"-65.3936403138218,-24.1418673724374"
13.2,"-64.7874280434685,-23.8152053582907"
13.2,"-65.3063950367197,-24.1907213187875"
13.2,"-64.7868977590285,-23.803157871616"
13.2,"-65.2144902281799,-24.2574016223357"
13.2,"-64.786431520565,-23.8212085575294"
13.2,"-65.2144861699527,-24.2574506888242"
13.2,"-64.7863571788065,-23.8008774438911"
13.2,"-65.2652201037265,-24.2130605367582"
33,"-64.7961951802064,-23.8108168311871"
13.2,"-64.8601103010469,-24.2248807635137"
33,"-64.7900557979408,-23.8021352480091"
13.2,"-65.2148012687879,-24.258694346356"
13.2,"-65.2954173126842,-24.2095533331648"
13.2,"-64.7869053075036,-23.8128053169568"
13.2,"-65.2953963587535,-24.2095446535491"
13.2,"-64.7851298052966,-23.9410965353349"
13.2,"-64.795262592261,-23.9427029106301"
13.2,"-64.7862038640903,-23.8212067347514"
13.2,"-64.7952913082932,-23.9427031900377"
13.2,"-64.7859886561785,-23.8010308471561"
13.2,"-64.7952228625861,-23.9427026531534"
13.2,"-64.795508084842,-23.9427158359366"
13.2,"-64.785862906925,-23.7997125861192"
13.2,"-64.7955475571502,-23.9424967689367"
13.2,"-64.7857844284842,-23.8211447081732"
13.2,"-64.7951821876225,-23.9427023340868"
13.2,"-64.7938121356168,-23.9713462087957"
13.2,"-64.7937116636465,-23.8298023264183"
13.2,"-64.7923068233034,-23.8152169665699"
13.2,"-64.7888710654278,-23.82993073561"
33,"-64.7936195304632,-23.8298312020697"
13.2,"-64.7903638219283,-23.8091105046034"
33,"-64.7934861022304,-23.8299391988512"
13.2,"-64.7878504744998,-23.8033724295269"
13.2,"-65.4026552883055,-24.1297445294572"
13.2,"-64.7864805850074,-23.8212089500341"
13.2,"-65.2992511327296,-24.1930110266161"
13.2,"-64.7857481207833,-23.8211444177203"
13.2,"-65.2992308542515,-24.1930132981536"
13.2,"-64.7836399653015,-23.799246199125"
13.2,"-65.2987975559072,-24.1898121851345"
13.2,"-64.7830575463541,-23.7978475365486"
33,"-65.3371725066781,-24.1840236218624"
13.2,"-64.7827642024335,-23.8049276211531"
33,"-65.3366475869625,-24.1833816868832"
13.2,"-64.7774157040089,-24.3092482070199"
13.2,"-65.3366915027637,-24.1835278788983"
13.2,"-64.7911081171595,-23.8179696507973"
33,"-65.5934980787728,-22.1066390389688"
13.2,"-64.7902328825211,-23.8158358646605"
33,"-65.5934981563998,-22.1066119471448"
13.2,"-64.7864411973593,-23.8210145846316"
33,"-65.5937456140971,-22.1067573577413"
13.2,"-64.7856459947373,-23.8134833490477"
33,"-65.5934983892798,-22.1065306716723"
13.2,"-64.7853000579928,-23.7970424675697"
33,"-65.5938195013096,-22.1067574701072"
13.2,"-64.7840879474276,-23.8017255337126"
13.2,"-65.3929170116808,-23.585585399174"
13.2,"-64.7784598552762,-23.7779163022581"
33,"-65.3929173444696,-23.5855411656105"
13.2,"-64.779100371258,-23.8009228626085"
13.2,"-65.392917904971,-23.5854421054685"
13.2,"-64.7710359642671,-23.7759250073337"
13.2,"-65.46531317932,-23.9156339520691"
13.2,"-64.6872858560835,-23.719603455615"
13.2,"-65.4653132874603,-23.9156076749705"
13.2,"-64.6865872717893,-23.7222112588578"
13.2,"-65.4653146743196,-23.9155670472911"
13.2,"-64.6781909978942,-24.3246108031695"
13.2,"-64.7935732032966,-23.8300309461396"
13.2,"-64.793593755075,-23.830154628731"
13.2,"-64.7879269589094,-23.8036290179568"
13.2,"-64.793405535319,-23.8332610626034"
33,"-64.7867956884814,-23.8208865495312"
13.2,"-64.793443984907,-23.8331754781164"
13.2,"-64.7865594340731,-23.802414307689"
33,"-65.2944796419145,-24.1892905062713"
33,"-65.265700410746,-24.2139509327114"
13.2,"-64.7854397370389,-23.8041196581771"
13.2,"-65.2656221250405,-24.2139545754053"
33,"-64.7852890561777,-23.8105563612172"
13.2,"-65.2988029192397,-24.1892432575366"
33,"-64.682728675836,-24.3814299090792"
13.2,"-65.2850031351844,-24.2155234740893"
13.2,"-64.6495555641424,-24.3368653180038"
13.2,"-65.2850026718977,-24.2155837245233"
13.2,"-64.6721090159555,-24.3359276384243"
33,"-65.2826365683018,-24.1984801550315"
13.2,"-65.1270614082384,-24.3797389116916"
33,"-65.1304293619122,-24.3806083258564"
13.2,"-65.0411639449553,-24.4727622479436"
13.2,"-65.1242539676918,-24.3815777536114"
13.2,"-65.2652560131015,-24.2138023909209"
13.2,"-65.1269982662336,-24.382355649193"
13.2,"-65.2717667173675,-24.2193996457703"
33,"-65.2523408670209,-24.3885306952329"
13.2,"-65.2766934290878,-24.2177607242022"
33,"-65.1965586867043,-24.3821226779109"
13.2,"-65.277285995519,-24.2161366292708"
13.2,"-64.6828573178393,-24.3804954477502"
13.2,"-65.2712327511626,-24.2197567542941"
13.2,"-65.4649185529979,-23.9155096190918"
13.2,"-64.6822392705264,-24.3830900289834"
13.2,"-65.2115199737733,-24.259337594685"
13.2,"-64.6777766880352,-24.3918531210113"
13.2,"-65.2969038560001,-24.2095674260418"
13.2,"-64.6761635905631,-24.3950512897981"
13.2,"-65.2971388824385,-24.2098327878065"
13.2,"-64.6717361853813,-24.4156480498995"
13.2,"-65.2971398121276,-24.2098802563776"
13.2,"-64.6717790302772,-24.4261433423399"
13.2,"-64.7914966916671,-23.813995155027"
13.2,"-64.6723667557042,-24.426872772188"
13.2,"-64.7906395430081,-23.8104220129729"
13.2,"-64.6750866157219,-24.4277966009018"
13.2,"-65.2653276552307,-24.2140310013116"
13.2,"-64.6792420718408,-24.4308970241254"
13.2,"-65.2653883940439,-24.2140772545474"
13.2,"-64.7813702828287,-23.9638789577554"
13.2,"-65.2669624684818,-24.2132546340725"
13.2,"-64.7814525907022,-23.8027124783971"
13.2,"-65.2669581981643,-24.213236973279"
13.2,"-64.7805567024685,-23.8007668063106"
13.2,"-65.2115333303483,-24.2593638138357"
13.2,"-64.7786471550286,-23.7773468849934"
13.2,"-65.3297053776569,-24.1629343307234"
13.2,"-64.77847046406,-23.7773987559767"
13.2,"-65.329695921268,-24.1629004600942"
13.2,"-64.7792759955512,-23.7992731571014"
33,"-65.3286859172095,-24.1645198424627"
13.2,"-64.7782062057406,-23.8012274489707"
13.2,"-64.7777713540013,-23.8002939494024"
13.2,"-65.3111329954968,-24.1827671021384"
13.2,"-64.7723544125218,-23.7766487944644"
13.2,"-65.3111182338872,-24.1827670354387"
33,"-64.7708951900541,-23.7763431566779"
13.2,"-64.7717920619151,-23.7728214954456"
13.2,"-65.3063623337079,-24.1898539060002"
13.2,"-64.6944095523794,-24.2753432162541"
13.2,"-65.306460063122,-24.188140297045"
13.2,"-64.7849940609127,-23.8126705610096"
33,"-65.3064452032811,-24.1881582854563"
13.2,"-64.7719954732793,-23.7720642967323"
33,"-65.306460136341,-24.188126755362"
13.2,"-64.5887747515342,-24.077036326382"
33,"-64.591677716736,-23.7450043195314"
13.2,"-65.2815441673755,-24.1771081384279"
33,"-64.570368273989,-24.0454208125913"
13.2,"-65.2815186391202,-24.1770933759753"
33,"-64.7791564414351,-23.7993166328504"
13.2,"-65.2810488463265,-24.1771588921332"
13.2,"-64.7778619533587,-23.8002585678821"
13.2,"-65.2657650545394,-24.2138871891092"
13.2,"-64.6554852290848,-24.3251867286157"
13.2,"-65.2880698791148,-24.2073732789184"
13.2,"-65.2858996773379,-24.2052328562138"
13.2,"-64.7855162516611,-23.8121674891436"
13.2,"-65.3067093542131,-24.1861475604948"
13.2,"-64.7796056869933,-23.8007345916586"
13.2,"-65.3066945922283,-24.186147493358"
13.2,"-64.6846427492929,-23.7292052607379"
13.2,"-65.2915567645202,-24.1890454088466"
13.2,"-64.5983273331509,-23.7402474946767"
33,"-65.2916223326407,-24.189628183708"
13.2,"-64.7850688291218,-23.8130057910863"
13.2,"-65.1817086468729,-24.2329765158756"
13.2,"-65.2671589228162,-24.1833581794675"
13.2,"-65.2671589743833,-24.1833491517506"
13.2,"-65.2613522763031,-24.1907263890631"
13.2,"-65.2613523282967,-24.1907173613667"
13.2,"-65.2613523282967,-24.1907173613667"
13.2,"-65.2594248086435,-24.1881387730142"
13.2,"-65.2594982824381,-24.188236623054"
13.2,"-65.260103701697,-24.1890423366832"
13.2,"-65.2604057268704,-24.1894438473771"
13.2,"-65.2607395839827,-24.1898907112203"
13.2,"-65.2610413915701,-24.1902963342034"
13.2,"-65.2651047022287,-24.1845677533893"
13.2,"-65.2578918592408,-24.1910616024177"
13.2,"-65.2578919114788,-24.1910525747288"
13.2,"-65.2578919114788,-24.1910525747288"
13.2,"-65.2569765368507,-24.1898048469824"
13.2,"-65.2594248086435,-24.1881387730142"
13.2,"-65.2569049528837,-24.189703549478"
13.2,"-65.25986615744,-24.1887265444325"
13.2,"-65.2600191590037,-24.1889307526633"
13.2,"-65.2600191590037,-24.1889307526633"
13.2,"-65.2598161980558,-24.189101029501"
13.2,"-65.2598162501536,-24.1890920018058"
13.2,"-65.2598162501536,-24.1890920018058"
13.2,"-65.2600191590037,-24.1889307526633"
7.6,"-65.3515040321611,-23.4191699189367"
7.6,"-65.3515040321611,-23.4191699189367"
7.6,"-65.3530682083172,-23.4193224037252"
13.2,"-65.3530682083172,-23.4193224037252"
13.2,"-65.3493699616478,-23.3986828338063"
7.6,"-65.3517421529515,-23.4161309263806"
13.2,"-66.4407412869697,-22.7727310453982"
13.2,"-66.4357271728622,-22.7530783786999"
13.2,"-66.4396033553438,-22.7691127261385"
13.2,"-66.4397596011446,-22.7603319175697"
13.2,"-66.4396034376472,-22.7691242386403"
13.2,"-66.4403322145689,-22.7714003162289"
13.2,"-65.5984055524033,-22.1167699892885"
13.2,"-65.5033478515737,-23.8230703734684"
13.2,"-64.8039659980876,-23.8344587077931"
13.2,"-64.8039659980876,-23.8344587077931"
13.2,"-64.8007151656508,-23.826839744205"
13.2,"-64.8002058919025,-23.8256291403818"
13.2,"-64.8020161035141,-23.8301122519117"
13.2,"-64.8019967102359,-23.8300675917112"
13.2,"-64.8038386355013,-23.8341896429556"
13.2,"-64.8038382438608,-23.8342022539909"
7.6,"-65.3106119422795,-23.2469963244931"
7.6,"-65.3106119422795,-23.2469963244931"
7.6,"-65.3117533418649,-23.2442572943044"
13.2,"-65.228369013703,-24.252692794358"
13.2,"-65.228369013703,-24.252692794358"
13.2,"-65.227720208116,-24.2528523285885"
13.2,"-65.227720208116,-24.2528523285885"
13.2,"-65.2275468788641,-24.2529069991446"
13.2,"-65.2275468788641,-24.2529069991446"
13.2,"-65.2275468788641,-24.2529069991446"
13.2,"-65.288007205597,-24.2123949741967"
13.2,"-65.288007255765,-24.2123859464726"
13.2,"-66.439603473591,-22.7691317855381"
13.2,"-66.4396034376472,-22.7691242386403"
13.2,"-65.6070588478881,-22.1134954028337"
13.2,"-65.607114776354,-22.1129971588181"
13.2,"-65.1208337840895,-24.4515549167602"
13.2,"-65.120833846728,-24.4515458896879"
13.2,"-65.120833846728,-24.4515458896879"
13.2,"-65.2535252387333,-24.2025253321606"
13.2,"-65.3375473535748,-24.1617032715049"
13.2,"-65.3375474001421,-24.1616942436267"
13.2,"-65.3375474001421,-24.1616942436267"
13.2,"-65.3380262236379,-24.1642651504618"
13.2,"-65.3379012642719,-24.1638557084996"
13.2,"-65.3373794364579,-24.1619967621233"
13.2,"-64.4343415484406,-23.6611857796627"
13.2,"-64.4343415484406,-23.6611857796627"
13.2,"-64.4343404374782,-23.6612081340687"
13.2,"-64.4828146134087,-23.6353256529112"
13.2,"-64.4888442923289,-23.6436238228877"
13.2,"-64.4920592307652,-23.6478673478544"
13.2,"-64.496481843928,-23.6538290701663"
13.2,"-64.4926777223552,-23.6486318417737"
13.2,"-64.496481843928,-23.6538290701663"
13.2,"-64.4945903450567,-23.6512463707716"
13.2,"-64.4955314195133,-23.6525602468961"
13.2,"-64.4955314195133,-23.6525602468961"
13.2,"-64.4827367926837,-23.6353217585374"
13.2,"-64.4893749894073,-23.644370448976"
13.2,"-64.4893751966582,-23.6443523970985"
13.2,"-64.4786270217984,-23.6376826792141"
13.2,"-64.4789285217522,-23.6374529281535"
13.2,"-64.4789379694279,-23.6374429896308"
13.2,"-64.4797045136614,-23.6332330528678"
13.2,"-64.4797037641857,-23.6332556155615"
13.2,"-64.4795214726417,-23.6367522604301"
13.2,"-64.4795214726417,-23.6367522604301"
13.2,"-64.4789283161397,-23.6374755050384"
13.2,"-64.4789283161397,-23.6374755050384"
13.2,"-64.479763029743,-23.6372348031397"
13.2,"-65.2877849999114,-24.0930462732368"
13.2,"-65.2846438153706,-24.1104538685348"
13.2,"-65.2829719924697,-24.1014338067327"
13.2,"-65.2829720427314,-24.1014247788873"
13.2,"-65.2877849999114,-24.0930462732368"
13.2,"-65.2833336161881,-24.099291802656"
13.2,"-65.2829792603846,-24.1014093044418"
13.2,"-65.2829720929931,-24.1014157510418"
13.2,"-65.287663189402,-24.0908878960089"
13.2,"-65.2854473575405,-24.0863581409496"
13.2,"-65.2854474075934,-24.0863491130814"
13.2,"-65.2854474576463,-24.0863400852133"
13.2,"-65.4896034934246,-23.8306881270702"
13.2,"-65.4876490996135,-23.8300158507786"
13.2,"-65.4876491350734,-23.8300068222664"
13.2,"-65.4896036715257,-23.8306655562331"
13.2,"-65.4896036715257,-23.8306655562331"
13.2,"-65.4896034934246,-23.8306881270702"
13.2,"-65.4876491350734,-23.8300068222664"
13.2,"-65.4820060150881,-23.8315954014262"
13.2,"-65.4896036715257,-23.8306655562331"
13.2,"-65.482005913398,-23.8316210089673"
13.2,"-65.4839692188942,-23.8314524165715"
33,"-65.4502255250731,-23.9680238019739"
33,"-65.4530946406684,-23.9685769925605"
33,"-65.4506954065384,-23.9680757392068"
13.2,"-65.0872150467144,-24.3029984803046"
13.2,"-65.0872150467144,-24.3029984803046"
13.2,"-65.0872342544022,-24.3030373331537"
13.2,"-65.0870477867321,-24.3029414231566"
13.2,"-65.0881432521536,-24.3013396017876"
13.2,"-65.0872342544022,-24.3030373331537"
13.2,"-65.0870477867321,-24.3029414231566"
13.2,"-65.090263687026,-24.2974636921341"
13.2,"-65.0902637513807,-24.2974546649539"
13.2,"-65.0881365791274,-24.3013098763171"
13.2,"-65.0881432521536,-24.3013396017876"
13.2,"-65.0899836369655,-24.2979733214688"
13.2,"-65.0896139228608,-24.2986498897146"
13.2,"-65.2597359372673,-24.1935216260603"
13.2,"-65.2597359893814,-24.1935125983706"
13.2,"-65.2597359893814,-24.1935125983706"
13.2,"-65.2578919661164,-24.1910435504849"
13.2,"-64.4748887646016,-23.6463557006697"
13.2,"-64.4740951675888,-23.6468487907735"
13.2,"-64.4748887646016,-23.6463557006697"
13.2,"-64.4748887646016,-23.6463557006697"
7.6,"-65.3458067501529,-23.4461115079535"
7.6,"-65.3462871368261,-23.4469530748899"
13.2,"-65.0830471047219,-24.3106801130901"
13.2,"-65.079661449057,-24.3144989044406"
13.2,"-65.0727705474334,-24.317901649497"
13.2,"-65.0816924472408,-24.3127391159747"
13.2,"-65.0813656989328,-24.313130727451"
13.2,"-65.0814020098024,-24.3130922408443"
13.2,"-65.0816924472408,-24.3127391159747"
13.2,"-65.0796523010702,-24.3145134449495"
13.2,"-65.0727703748167,-24.3179245484566"
13.2,"-65.0830464499408,-24.3107026779817"
13.2,"-65.0617539089065,-24.3240741154504"
13.2,"-65.0830464499408,-24.3107026779817"
13.2,"-65.0816964082238,-24.3127593958501"
13.2,"-65.0617539089065,-24.3240741154504"
13.2,"-65.0727703748167,-24.3179245484566"
13.2,"-65.0796523010702,-24.3145134449495"
13.2,"-65.1119334923459,-24.294962575705"
13.2,"-65.09517332444,-24.2937041391396"
13.2,"-65.09517332444,-24.2937041391396"
13.2,"-65.1118933839427,-24.2949524858611"
13.2,"-65.0951734844306,-24.293681571147"
13.2,"-65.0938587279319,-24.2928433938046"
13.2,"-65.0915596458072,-24.2952327847251"
13.2,"-65.0902638161889,-24.2974456414439"
13.2,"-65.0902637513807,-24.2974546649539"
13.2,"-65.091646335364,-24.2951358502447"
13.2,"-65.1104258349877,-24.2757499942936"
13.2,"-65.1110928510294,-24.2736946985392"
13.2,"-65.1112842096197,-24.2733142440984"
13.2,"-65.1115314101421,-24.2730211057753"
13.2,"-65.1161606498112,-24.2700201498255"
13.2,"-65.116462403574,-24.2694420133008"
13.2,"-65.1117475142873,-24.2728606562174"
13.2,"-65.1120972785639,-24.2727278895221"
13.2,"-65.1143710650213,-24.2716647480091"
33,"-65.4502255250731,-23.9680238019739"
33,"-65.4502256208177,-23.9680012312354"
33,"-65.4511585144846,-23.9534878225194"
33,"-65.4511850771057,-23.9534788890077"
33,"-65.4515783595191,-23.9529598877268"
13.2,"-65.1220627358154,-24.3793047409962"
13.2,"-65.1622338999056,-24.4476177924183"
13.2,"-65.1622338999056,-24.4476177924183"
13.2,"-65.1620222507885,-24.4477517858667"
13.2,"-65.1615591937195,-24.4480557733589"
13.2,"-65.1610053919237,-24.441296902566"
13.2,"-65.1607745328139,-24.4407495025106"
13.2,"-65.1601613499212,-24.4489401810327"
13.2,"-65.1600971299208,-24.4399606152919"
13.2,"-65.159579664695,-24.4392745913342"
13.2,"-65.1547991924713,-24.4171502812588"
13.2,"-65.1541709952811,-24.4142294834988"
13.2,"-65.1541477535707,-24.4141289951672"
13.2,"-65.1489706425011,-24.3910205049534"
13.2,"-65.1479354499598,-24.3863730558199"
13.2,"-65.1475870660077,-24.3852993095165"
13.2,"-65.1438836532996,-24.3839376012689"
13.2,"-65.1434535000844,-24.3837969835948"
13.2,"-66.5767595186532,-22.4307934209318"
13.2,"-66.5947174002663,-22.4392173223366"
13.2,"-65.2637525294779,-24.1863456629996"
13.2,"-65.2651469241389,-24.1882071426141"
13.2,"-65.1286050522575,-24.379727647742"
13.2,"-65.1270964140796,-24.3797755854699"
13.2,"-65.1230340596859,-24.3786602743586"
13.2,"-65.1230340596859,-24.3786602743586"
13.2,"-65.1621857737214,-24.447232033234"
13.2,"-65.1611897010897,-24.4420179934185"
13.2,"-65.1527111625508,-24.4540886883533"
13.2,"-65.1414547549466,-24.3832079693855"
13.2,"-65.1491308756117,-24.3916667458832"
13.2,"-65.1611858980452,-24.4419994569025"
13.2,"-65.1287700567317,-24.3797694244309"
13.2,"-65.122128918531,-24.3791903475917"
13.2,"-65.1221286468309,-24.3792355450188"
13.2,"-65.1610053919237,-24.441296902566"
13.2,"-65.1611783376379,-24.4419721708478"
13.2,"-65.1621133545647,-24.4476917242456"
13.2,"-65.1621378497852,-24.447677838445"
13.2,"-65.1221290099868,-24.3791584060375"
13.2,"-65.1622243312111,-24.4475633504906"
13.2,"-65.1274170881884,-24.3794016749362"
13.2,"-65.1491213239737,-24.3916215635036"
13.2,"-65.1491261305122,-24.3916396410906"
13.2,"-65.1621877014785,-24.4472578643873"
13.2,"-65.1285786447003,-24.3797182706475"
13.2,"-65.1594951457657,-24.4391187474076"
13.2,"-65.1622281028193,-24.4475905649412"
13.2,"-65.1541315435995,-24.4140562929906"
13.2,"-65.1621932532475,-24.4472834122941"
13.2,"-65.1620940199654,-24.4465777429249"
13.2,"-65.1614586151772,-24.4434764714603"
13.2,"-65.1566105174533,-24.4514103288985"
13.2,"-65.1566102440399,-24.4514351672843"
13.2,"-65.1599603706642,-24.4490651048362"
13.2,"-65.1595041109586,-24.4493473076787"
13.2,"-65.1485998995662,-24.3894936176202"
13.2,"-65.1481641170511,-24.3876316616042"
13.2,"-65.1621932532475,-24.4472834122941"
13.2,"-65.1221411776583,-24.3790985671759"
13.2,"-65.1104254997631,-24.2757274232719"
13.2,"-65.0960681070057,-24.2893451892579"
13.2,"-65.1104258349877,-24.2757499942936"
13.2,"-65.1104254997631,-24.2757274232719"
13.2,"-65.0859547249312,-24.3053620547065"
13.2,"-65.2680170860191,-24.2119760319284"
13.2,"-65.2680170860191,-24.2119760319284"
13.2,"-65.2680170860191,-24.2119760319284"
13.2,"-65.267396739172,-24.212548772253"
33,"-65.7012872056332,-22.4233578107059"
13.2,"-65.7009925610779,-22.4233568286737"
33,"-65.7012496901205,-22.4233575024413"
33,"-65.7012872056332,-22.4233578107059"
33,"-65.6949757897823,-22.3849688288023"
13.2,"-65.7010385699085,-22.423356975621"
13.2,"-65.701059620273,-22.4233572758392"
13.2,"-65.7002368499957,-22.4234094752877"
33,"-65.7012232801549,-22.4233575561759"
13.2,"-65.7010891458709,-22.423357069202"
13.2,"-65.7009406444126,-22.4233760429606"
13.2,"-65.7009924952898,-22.4233761964054"
33,"-65.6308285283825,-22.2003927344166"
33,"-65.7009800872777,-22.4231987996772"
33,"-65.7013277007425,-22.4231990052"
13.2,"-65.8664826682019,-22.0985736518438"
13.2,"-65.8647296149383,-22.0927724614835"
13.2,"-65.8646659292461,-22.0922726929318"
13.2,"-65.8671332758171,-22.1006635104441"
13.2,"-65.8646954610951,-22.0926481069303"
13.2,"-65.8671347853517,-22.100640972732"
13.2,"-65.8665034312369,-22.098608783214"
13.2,"-65.8671332758171,-22.1006635104441"
13.2,"-65.8646659292461,-22.0922726929318"
13.2,"-65.8646723584302,-22.0921483216393"
13.2,"-65.8647552839426,-22.0922250300211"
13.2,"-65.9959429047593,-22.04958469866"
13.2,"-65.9959429047593,-22.04958469866"
13.2,"-65.9911704335482,-22.0387543932558"
13.2,"-65.9698056454509,-22.0351295996733"
13.2,"-65.9698056454509,-22.0351295996733"
13.2,"-65.9589947613496,-22.0413724501336"
13.2,"-65.9386085232354,-22.0584560784305"
13.2,"-65.9361955337782,-22.0599317051773"
13.2,"-65.9386085134893,-22.0584786556415"
33,"-65.7051017933365,-22.1264867206107"
13.2,"-65.9035181732534,-22.0767558862599"
13.2,"-65.9062275016915,-22.0758073964727"
13.2,"-65.9960785065734,-22.0504065137638"
13.2,"-65.9960756010654,-22.0503794209988"
13.2,"-65.9680527132059,-22.0361408104536"
13.2,"-65.9064390495206,-22.0757322508787"
13.2,"-65.9281461182464,-22.0642768133075"
13.2,"-65.9680265564914,-22.0361543517196"
13.2,"-65.9598062273586,-22.0407025314135"
13.2,"-65.9937340879879,-22.072667425214"
13.2,"-65.9942743939336,-22.0628721757994"
13.2,"-65.9893054391314,-22.0816735613334"
13.2,"-65.9892881416761,-22.0816577296165"
13.2,"-65.9937340879879,-22.072667425214"
13.2,"-65.9893054391314,-22.0816735613334"
13.2,"-65.2580136592205,-24.2135392289897"
13.2,"-65.2580137115046,-24.2135302013272"
13.2,"-65.2600618565946,-24.2113313772926"
13.2,"-65.2580137115046,-24.2135302013272"
13.2,"-65.348131920584,-24.231233278039"
13.2,"-65.348131920584,-24.231233278039"
13.2,"-65.3481317826675,-24.2312603614843"
13.2,"-65.1930868609195,-24.2509081208135"
13.2,"-65.8086270352408,-22.8603729475483"
13.2,"-65.1379945036733,-23.1498506432957"
13.2,"-65.1110112118004,-24.2749798521479"
13.2,"-65.1110099975294,-24.2749296852006"
13.2,"-65.0937523357773,-24.2927794626439"
13.2,"-65.0938198176087,-24.292818081953"
13.2,"-65.0954579939251,-24.2907760488725"
13.2,"-65.0954579939251,-24.2907760488725"
13.2,"-65.096009683027,-24.2894186479886"
13.2,"-65.0954581538436,-24.2907534808695"
13.2,"-65.095414017161,-24.2907243523585"
13.2,"-64.9087421574131,-24.5755243640674"
13.2,"-65.0409558981558,-24.4735235403153"
13.2,"-65.0408924957406,-24.472787565506"
33,"-65.0413489397999,-24.473458324478"
33,"-65.0413478549378,-24.4732192174926"
13.2,"-65.0383056891142,-24.5086707134098"
13.2,"-65.0383057578133,-24.5086616866157"
13.2,"-65.0383057578133,-24.5086616866157"
13.2,"-65.1135073177015,-24.454451608858"
13.2,"-65.1142493025903,-24.4542742396613"
13.2,"-65.1190367298718,-24.4521708611931"
13.2,"-65.1190341626833,-24.452204833672"
13.2,"-65.2901796626047,-24.195214864673"
13.2,"-65.2901796626047,-24.195214864673"
13.2,"-65.0842531101406,-24.3085740768125"
13.2,"-65.0842531101406,-24.3085740768125"
13.2,"-65.0842532721739,-24.3085515089329"
13.2,"-65.0859351759212,-24.3053987206284"
13.2,"-65.9936083925375,-22.4737852446393"
13.2,"-65.7952507659683,-22.8391615981819"
13.2,"-65.377381902986,-24.1673581007571"
13.2,"-65.3773595915537,-24.1673852096312"
13.2,"-65.3773375198996,-24.1673972779904"
13.2,"-65.212229424736,-24.1107364666358"
13.2,"-65.2137807506076,-24.1115000458461"
13.2,"-65.2177388781739,-24.1122666393615"
13.2,"-65.2137812039263,-24.1114778383967"
13.2,"-65.2122296681125,-24.1107138934461"
13.2,"-65.212229424736,-24.1107364666358"
13.2,"-65.2587094311985,-24.2162692435089"
13.2,"-65.2587094311985,-24.2162692435089"
13.2,"-65.2613883012588,-24.2155643899883"
13.2,"-65.2608156042869,-24.215720092528"
13.2,"-65.2608156602001,-24.2157386857621"
13.2,"-65.2581416690615,-24.2164381927061"
13.2,"-65.2581417213437,-24.2164291650467"
13.2,"-65.2581417213437,-24.2164291650467"
13.2,"-65.2587094311985,-24.2162692435089"
13.2,"-65.2585219062252,-24.2163148990048"
13.2,"-65.1985673093051,-24.4236721095371"
13.2,"-65.1985666718176,-24.4236946715201"
13.2,"-65.1985666718176,-24.4236946715201"
13.2,"-65.1956324833057,-24.424883999747"
13.2,"-64.2995922720723,-23.9181277447123"
13.2,"-64.2995928541887,-23.9181053796984"
13.2,"-64.2995922720723,-23.9181277447123"
13.2,"-64.3035889205128,-23.915757577067"
13.2,"-64.3036674522465,-23.9157118747055"
13.2,"-65.073953171169,-24.533704073395"
13.2,"-65.0669926488548,-24.5376137838998"
33,"-65.3924959120627,-24.1724109286526"
33,"-65.3924961789099,-24.1723878131831"
33,"-65.3924959120627,-24.1724109286526"
33,"-65.3861811805929,-24.1691304053097"
33,"-65.3844993963056,-24.1682844835383"
33,"-65.3844993150929,-24.1682622189441"
33,"-65.3844993963056,-24.1682844835383"
13.2,"-65.2837201589607,-24.2793927855925"
