tension,geojson
13.2,"-65.2948801658628,-24.1935397040444"
13.2,"-65.2947113888042,-24.1929369461125"
13.2,"-65.168146603091,-24.4431225978262"
13.2,"-65.1681465042262,-24.4431456255832"
13.2,"-65.1680501037813,-24.4434629090404"
13.2,"-65.1680499783632,-24.4434820166382"
13.2,"-65.1680606758945,-24.4440782540379"
13.2,"-65.1680538894354,-24.4435221655564"
13.2,"-65.1674264909859,-24.4573594169335"
13.2,"-65.958551791388,-22.4653645984135"
13.2,"-65.9584964717928,-22.4581169762729"
13.2,"-65.9582232822032,-22.4627282186715"
13.2,"-65.9594845606666,-22.4776502839812"
13.2,"-65.9724854155307,-22.4759201541169"
13.2,"-65.972619090913,-22.4762289689211"
13.2,"-65.9724792982486,-22.4758963539127"
13.2,"-65.9936083925375,-22.4737852446393"
13.2,"-65.9769305483607,-22.475366770344"
13.2,"-65.9769660748264,-22.4753624394056"
13.2,"-66.0303611343271,-22.4485095253046"
13.2,"-66.0319412625635,-22.455619838108"
13.2,"-66.0303611303955,-22.4484914643943"
13.2,"-66.051531455594,-22.4541894687881"
13.2,"-66.0515291280878,-22.4541514794915"
13.2,"-66.0671383344898,-22.4538563059352"
13.2,"-66.0607295422368,-22.4539298036898"
13.2,"-66.0571266311825,-22.4541420190367"
13.2,"-66.0598008899307,-22.454025589382"
13.2,"-66.0715987321815,-22.4631175827648"
13.2,"-66.059801366014,-22.4540030130887"
13.2,"-66.0605513497666,-22.4540741591554"
13.2,"-66.0506899527082,-22.4354885363141"
13.2,"-66.0506894588073,-22.4354659602979"
13.2,"-66.0501411573604,-22.4408271736866"
13.2,"-66.0501411654734,-22.4408497498404"
13.2,"-66.0509493465791,-22.4470825209253"
13.2,"-65.9304927621207,-22.2058162148007"
13.2,"-65.9280314868264,-22.2152146219307"
13.2,"-66.0514380675626,-22.5791566875457"
13.2,"-64.821220053381,-24.2212435180951"
13.2,"-64.8077043024415,-24.2211082705123"
13.2,"-65.4499328001473,-24.1850826950543"
13.2,"-65.4499308492302,-24.1850671568395"
13.2,"-65.292207365842,-24.2072616321273"
13.2,"-65.2891722949335,-24.2061458572565"
13.2,"-65.2874638835466,-24.2052943325933"
13.2,"-65.2898347901088,-24.2050504045229"
13.2,"-65.2955856304431,-24.209494157738"
13.2,"-65.2938632436819,-24.2086618954081"
13.2,"-65.2898568720991,-24.2050132444335"
13.2,"-65.2822770594454,-23.1788158127789"
13.2,"-65.2916668958421,-23.1586910766238"
13.2,"-65.3957362991225,-23.5776146911683"
13.2,"-65.9953147182882,-22.474165128499"
13.2,"-65.9953418805823,-22.4742030945406"
13.2,"-65.4397294484339,-24.1105259097926"
13.2,"-65.4410673226059,-24.1134296421251"
13.2,"-65.44103451733,-24.1133872941416"
13.2,"-65.2745359679751,-24.2336446727062"
13.2,"-65.2745371518021,-24.2336200905982"
13.2,"-65.1779048987256,-24.09334163807"
13.2,"-65.17790495633,-24.0933326104384"
13.2,"-65.1779050139343,-24.0933235828067"
13.2,"-65.1789935215047,-24.0933256410987"
13.2,"-65.4700270900343,-24.1752039915028"
13.2,"-65.4700270188407,-24.1751814324669"
13.2,"-65.2051864651908,-24.2679522812841"
13.2,"-65.2051033396153,-24.2670835613079"
